"","study","treatment","responders","sampleSize"
"68","Kato2006","paroxetine",37,52
"69","MY-1043/BRL-029060/115","fluoxetine",167,289
"70","MY-1043/BRL-029060/115","paroxetine",152,284
"71","Szegedi2005","mirtazapine",65,130
"72","Szegedi2005","venlafaxine",52,128
"73","De Wilde1993","fluoxetine",26,41
"74","De Wilde1993","paroxetine",25,37
"75","Baldwin2005","escitalopram",112,166
"76","Baldwin2005","paroxetine",111,159
"77","Berlanga2004","citalopram",33,54
"78","Berlanga2004","reboxetine",27,47
"79","Sechter1999","fluoxetine",35,120
"80","Sechter1999","sertraline",48,118
"81","Alves1999","fluoxetine",35,47
"82","Alves1999","venlafaxine",36,40
"83","Aguglia1993","fluoxetine",26,56
"84","Aguglia1993","sertraline",35,52
"85","Nieremberg2007","duloxetine",113,273
"86","Nieremberg2007","escitalopram",109,274
"87","Ventura2007","escitalopram",75,107
"88","Ventura2007","sertraline",74,108
"89","Moore2005","citalopram",87,152
"90","Moore2005","escitalopram",105,142
"91","Clerc2001","fluvoxamine",32,56
"92","Clerc2001","milnacipran",40,57
"93","DeNayer2002","fluoxetine",29,73
"94","DeNayer2002","venlafaxine",37,73
"95","Detke2004","duloxetine",126,188
"96","Detke2004","paroxetine",63,86
"97","SCT-MD-27","escitalopram",69,136
"98","SCT-MD-27","sertraline",78,138
"99","Amini2005","fluoxetine",8,18
"100","Amini2005","mirtazapine",12,18
"101","Newhouse2000","fluoxetine",84,119
"102","Newhouse2000","sertraline",85,117
"103","Guelfi1998","fluoxetine",51,100
"104","Guelfi1998","milnacipran",109,200
"105","Winokur2000","fluoxetine",6,13
"106","Winokur2000","mirtazapine",8,9
"107","Yang2003","milnacipran",4,27
"108","Yang2003","sertraline",2,26
"109","DiazMaritinez1998","fluoxetine",46,75
"110","DiazMaritinez1998","venlafaxine",45,70
"111","Rossini2002","fluvoxamine",29,40
"112","Rossini2002","sertraline",28,48
"113","29060/785","citalopram",102,207
"114","29060/785","paroxetine",77,199
"115","Mehtonen2000","sertraline",41,72
"116","Mehtonen2000","venlafaxine",49,75
"117","Clayton2006b(WELL_AK130926)","bupropion",81,138
"118","Clayton2006b(WELL_AK130926)","escitalopram",82,149
"119","Kavoussi1997","bupropion",82,122
"120","Kavoussi1997","sertraline",85,126
"121","SCT-MD-16","escitalopram",65,102
"122","SCT-MD-16","fluoxetine",65,103
"123","Bennie1995","fluoxetine",63,144
"124","Bennie1995","sertraline",73,142
"125","Burke2000","citalopram",57,127
"126","Burke2000","escitalopram",122,252
"127","Nemeroff2007","fluoxetine",45,104
"128","Nemeroff2007","venlafaxine",51,102
"129","Ontiveros1994","fluoxetine",35,62
"130","Ontiveros1994","paroxetine",41,60
"131","Colonna2005","citalopram",96,182
"132","Colonna2005","escitalopram",104,175
"133","Zanardi1996","paroxetine",6,22
"134","Zanardi1996","sertraline",18,24
"135","Ekselius1997","citalopram",136,200
"136","Ekselius1997","sertraline",139,200
"137","Schazberg2000","mirtazapine",72,128
"138","Schazberg2000","paroxetine",60,126
"139","Oslin2003","sertraline",9,25
"140","Oslin2003","venlafaxine",5,27
"141","Croft1999","bupropion",77,120
"142","Croft1999","sertraline",79,119
"143","Benkert1999","mirtazapine",74,139
"144","Benkert1999","paroxetine",66,136
"145","WXL101497","bupropion",106,188
"146","WXL101497","venlafaxine",120,189
"147","Goldstein2004","duloxetine",81,177
"148","Goldstein2004","paroxetine",34,87
"149","Goldstein2002","duloxetine",32,70
"150","Goldstein2002","fluoxetine",15,33
"151","Silverstone1999","fluoxetine",75,119
"152","Silverstone1999","venlafaxine",79,122
"153","Hackett1998","fluvoxamine",14,34
"154","Hackett1998","venlafaxine",48,77
"155","Coleman2001","bupropion",76,150
"156","Coleman2001","fluoxetine",83,154
"157","Shelton2006","sertraline",45,82
"158","Shelton2006","venlafaxine",49,78
"159","MY-1045/BRL-029060/1","fluoxetine",244,351
"160","MY-1045/BRL-029060/1","paroxetine",217,357
"161","Lee2002","fluoxetine",12,31
"162","Lee2002","milnacipran",15,39
"163","Fava2002","fluoxetine",57,92
"164","Fava2002","paroxetine",64,96
"165","Fava2002","sertraline",70,96
"166","Bougerol1997a","citalopram",115,173
"167","Bougerol1997a","fluoxetine",113,184
"168","Fava2000","fluoxetine",26,35
"169","Fava2000","paroxetine",23,30
"170","Fava2000","sertraline",37,43
"171","Bosc1997a","fluoxetine",55,127
"172","Bosc1997a","reboxetine",49,126
"173","Guelfi2000","mirtazapine",48,78
"174","Guelfi2000","venlafaxine",39,79
"175","29060/365","fluoxetine",32,70
"176","29060/365","paroxetine",33,68
"177","Lepola2001","citalopram",79,161
"178","Lepola2001","escitalopram",95,156
"179","Aberg-Wisted2000","paroxetine",111,177
"180","Aberg-Wisted2000","sertraline",116,176
"181","Langworth2006","citalopram",112,173
"182","Langworth2006","reboxetine",83,177
"183","Dalery1998","fluoxetine",54,94
"184","Dalery1998","fluvoxamine",53,90
"185","Kjernisted2002","mirtazapine",117,176
"186","Kjernisted2002","sertraline",114,170
"187","Annseaau1993","fluvoxamine",24,64
"188","Annseaau1993","paroxetine",24,56
"189","Chouinard1999","fluoxetine",53,101
"190","Chouinard1999","paroxetine",51,102
"191","Wade2007","duloxetine",81,151
"192","Wade2007","escitalopram",94,144
"193","Sechter2000","milnacipran",74,149
"194","Sechter2000","paroxetine",78,153
"195","Wade2003","mirtazapine",38,99
"196","Wade2003","paroxetine",34,98
"197","Annseau1994","fluoxetine",43,93
"198","Annseau1994","milnacipran",32,97
"199","Allard2004","citalopram",50,75
"200","Allard2004","venlafaxine",49,76
"201","AK130939","bupropion",115,204
"202","AK130939","venlafaxine",127,198
"203","Costaesilva1998","fluoxetine",153,186
"204","Costaesilva1998","venlafaxine",170,196
"205","Hong2003","fluoxetine",30,66
"206","Hong2003","mirtazapine",35,66
"207","Tzanakaki2000","fluoxetine",31,54
"208","Tzanakaki2000","venlafaxine",36,55
"209","Versiani2005","fluoxetine",104,152
"210","Versiani2005","mirtazapine",106,147
"211","Bosc1997b","fluoxetine",51,89
"212","Bosc1997b","reboxetine",46,79
"213","ID#4091","duloxetine",52,175
"214","ID#4091","paroxetine",38,89
"215","McPartlin1998","paroxetine",105,178
"216","McPartlin1998","venlafaxine",113,183
"217","Nemeroff1995","fluvoxamine",19,49
"218","Nemeroff1995","sertraline",21,48
"219","Rapaport1995","fluoxetine",29,49
"220","Rapaport1995","fluvoxamine",30,51
"221","Bougerol1997b","citalopram",98,158
"222","Bougerol1997b","fluoxetine",102,158
"223","Agren1999","citalopram",117,133
"224","Agren1999","mirtazapine",116,137
